customer_id;trans_date;tran_amount
CS2598;27-dic-11;54
CS3119;23-ene-14;76
CS5316;22-nov-13;103
CS1952;15-dic-13;95
CS4568;11-jul-11;85
CS3724;16-nov-12;56
CS4086;26-feb-12;64
CS4507;12-ago-13;94
CS2050;25-dic-14;48
CS5981;31-mar-12;53
CS3066;16-feb-14;68
CS4315;9-nov-11;83
CS4852;10-oct-14;81
CS4150;27-mar-12;68
CS3721;19-jun-14;94
CS5077;18-jul-14;35
CS5073;17-ago-13;98
CS1321;7-ago-14;99
CS5552;26-feb-12;57
CS4494;26-abr-14;48
CS2358;15-jul-12;64
CS1160;10-sep-14;38
CS3622;31-jul-14;72
CS4690;19-jun-14;37
CS5135;18-feb-14;47
CS5508;31-oct-14;79
CS4263;16-mar-15;52
CS5969;31-ene-15;75
CS2900;22-dic-11;83
CS1851;28-ago-14;91
CS3839;15-sep-14;92
CS3480;3-ago-13;60
CS4923;10-dic-11;45
CS5339;27-oct-14;73
CS1682;28-may-11;88
CS5632;29-mar-13;44
CS3550;8-mar-14;68
CS5062;12-oct-13;78
CS2888;6-abr-12;77
CS1445;9-nov-14;104
CS4073;15-ago-13;91
CS4345;1-ago-12;97
CS2020;11-sep-11;62
CS4226;29-oct-14;79
CS5059;30-oct-14;81
CS1245;14-jul-14;45
CS4211;31-ago-13;101
CS2097;18-may-11;41
CS2872;22-dic-12;61
CS4446;21-abr-12;90
CS5626;13-nov-14;93
CS4504;19-may-12;88
CS4373;27-feb-15;104
CS5344;6-sep-12;68
CS5402;23-mar-12;51
CS5736;1-ago-13;45
CS5783;21-jun-11;101
CS5086;25-dic-13;42
CS3052;22-dic-11;45
CS2671;25-sep-14;93
CS4115;27-feb-12;53
CS2178;1-may-14;66
CS5763;17-mar-12;102
CS3107;14-sep-12;86
CS5599;22-oct-12;104
CS6004;28-jul-14;94
CS3300;12-jun-12;85
CS3676;7-ene-13;40
CS3372;13-ago-13;100
CS2755;13-may-12;82
CS2898;16-ago-12;68
CS2212;26-sep-12;46
CS2765;15-oct-11;50
CS3638;26-mar-14;42
CS6099;27-sep-14;35
CS2609;26-ene-15;101
CS5256;22-may-13;44
CS4980;21-feb-12;76
CS4201;20-feb-14;67
CS1435;6-ago-12;103
CS1776;7-abr-14;35
CS2594;7-may-13;37
CS5907;29-jun-11;53
CS3632;19-nov-13;86
CS4029;15-oct-11;89
CS5988;14-dic-11;61
CS1969;9-jun-14;47
CS3950;18-oct-14;48
CS3944;5-ene-12;73
CS2285;2-mar-13;38
CS1443;25-dic-13;71
CS1252;6-feb-13;92
CS1251;14-mar-15;66
CS5575;11-ene-14;79
CS4914;3-nov-14;47
CS2459;6-jul-13;43
CS1794;14-nov-13;66
CS3441;30-oct-12;72
CS4467;2-mar-15;72
CS4819;12-mar-12;102
CS2213;27-abr-12;65
CS4541;20-feb-12;71
CS1795;17-abr-12;84
CS1765;6-may-13;68
CS4611;13-jul-12;46
CS1124;27-jun-11;93
CS4776;15-nov-13;82
CS3142;5-jun-14;104
CS5818;18-mar-13;50
CS1410;22-jun-12;104
CS5364;21-dic-13;53
CS2877;2-abr-12;42
CS2077;4-jun-11;36
CS4812;30-sep-11;82
CS2149;23-ago-11;102
CS5506;11-oct-13;89
CS2269;6-mar-14;64
CS2451;24-feb-15;66
CS4293;13-jun-14;66
CS2682;18-ago-12;71
CS3540;12-oct-14;104
CS4289;16-ene-13;55
CS1983;23-jul-14;104
CS2527;26-nov-11;51
CS3777;17-oct-14;64
CS5538;5-jun-14;63
CS3930;11-jun-13;100
CS2547;29-mar-13;90
CS5326;10-oct-14;98
CS3557;27-sep-12;79
CS3944;20-jul-14;53
CS2061;4-mar-14;46
CS5295;3-jun-12;96
CS5607;8-abr-13;56
CS2563;28-jul-12;52
CS3066;31-ene-12;53
CS3679;17-sep-13;95
CS2621;15-jul-14;71
CS4111;28-jul-11;75
CS4684;3-sep-11;85
CS6013;1-jul-13;63
CS3305;14-sep-12;60
CS5778;14-ene-12;97
CS5851;3-jul-13;56
CS1218;12-dic-14;53
CS3435;17-ago-12;97
CS5315;29-nov-11;56
CS1459;1-ene-12;86
CS4741;22-abr-13;79
CS5310;5-oct-11;82
CS3997;17-may-13;99
CS1394;30-mar-14;85
CS2259;16-feb-15;59
CS2949;5-dic-14;71
CS4943;8-oct-13;71
CS4894;25-jul-13;101
CS4100;6-mar-12;37
CS5352;20-abr-12;37
CS3739;6-jun-12;84
CS5100;5-abr-13;48
CS3622;20-dic-13;70
CS1352;13-may-12;58
CS4007;23-dic-13;88
CS5796;11-jul-12;72
CS4839;30-may-13;92
CS4292;1-feb-12;87
CS4307;16-jul-13;49
CS5284;5-feb-15;36
CS5631;29-jul-14;36
CS2485;25-mar-12;44
CS1884;20-feb-13;37
CS1663;1-oct-12;70
CS5341;2-nov-13;89
CS4694;19-abr-13;37
CS1162;20-may-14;68
CS3952;24-jul-14;55
CS3077;9-sep-11;103
CS5781;4-oct-14;63
CS6097;24-mar-14;100
CS4538;7-may-14;71
CS6046;5-mar-14;62
CS2644;29-ene-15;37
CS4880;24-oct-13;35
CS5207;3-mar-13;74
CS4207;25-oct-14;45
CS2171;17-jun-14;43
CS3914;23-jun-13;50
CS4495;4-ene-15;35
CS2885;13-mar-14;91
CS2917;7-dic-13;78
CS5467;19-oct-14;77
CS5896;25-dic-12;81
CS5462;29-nov-11;39
CS1708;24-oct-13;78
CS4234;5-ene-14;97
CS5960;18-feb-15;45
CS4361;11-ago-13;37
CS3297;4-feb-14;85
CS5494;17-ago-14;65
CS3645;9-oct-13;81
CS5119;23-ago-11;93
CS5991;31-ago-11;74
CS5635;17-abr-13;98
CS2577;13-mar-14;41
CS4139;27-oct-11;92
CS1584;11-mar-13;62
CS3697;13-sep-13;45
CS2131;18-sep-13;93
CS5836;19-mar-12;44
CS1559;3-sep-12;81
CS4397;6-jun-12;69
CS4588;7-ago-11;87
CS3095;20-sep-11;56
CS4877;25-may-11;103
CS4103;20-dic-13;57
CS4721;12-jun-11;39
CS2116;30-ene-15;51
CS3830;18-oct-12;76
CS1900;12-feb-14;50
CS2055;3-sep-13;60
CS4406;1-mar-14;73
CS4329;24-dic-12;97
CS5709;15-dic-13;83
CS4303;18-may-13;96
CS1619;4-oct-12;58
CS1984;16-may-13;56
CS2843;15-may-14;71
CS1820;6-jul-11;105
CS5052;27-nov-13;82
CS1468;9-may-13;102
CS3349;24-dic-12;79
CS3804;5-jun-12;92
CS1350;10-jul-11;70
CS2215;9-dic-14;79
CS1183;19-may-13;55
CS1130;12-feb-15;85
CS2475;24-jul-13;35
CS5027;19-sep-13;63
CS4347;30-ago-11;63
CS1383;8-mar-14;63
CS6060;22-sep-14;62
CS1641;6-dic-13;73
CS4015;29-nov-14;69
CS4297;30-may-14;70
CS2103;21-sep-11;64
CS4363;3-jun-11;52
CS5068;15-dic-13;44
CS2379;15-dic-13;97
CS1797;3-jul-13;38
CS3397;10-ene-13;56
CS4575;12-nov-11;44
CS1980;3-jun-12;93
CS3070;13-nov-11;81
CS4313;7-feb-13;65
CS5869;26-ago-11;52
CS2492;25-ene-13;82
CS5318;26-nov-12;82
CS3668;1-jul-12;76
CS5080;6-oct-13;77
CS1934;16-nov-11;43
CS5512;21-may-11;80
CS1817;31-ene-13;77
CS5447;6-jul-14;79
CS3891;5-oct-12;41
CS3290;24-jul-12;91
CS2423;27-ene-13;67
CS4959;13-jun-14;51
CS1999;29-feb-12;53
CS4821;4-jun-11;48
CS3335;6-ago-11;80
CS2281;17-dic-11;78
CS3200;22-oct-14;89
CS3430;10-ago-13;104
CS4019;23-mar-14;83
CS4229;17-ago-14;78
CS3450;30-sep-14;46
CS4705;17-ago-14;69
CS5867;28-abr-13;59
CS2726;27-nov-13;99
CS3108;30-oct-11;42
CS3093;14-ago-11;90
CS2571;12-sep-12;38
CS2683;30-abr-12;61
CS2627;23-oct-12;76
CS5066;12-mar-12;73
CS1471;2-dic-13;60
CS4109;10-oct-13;69
CS4595;22-mar-13;66
CS1358;5-mar-15;62
CS1940;25-nov-13;105
CS2022;11-sep-11;69
CS3468;10-may-14;90
CS2928;24-nov-12;80
CS2414;16-jul-13;55
CS2511;8-dic-11;105
CS4089;11-mar-13;98
CS5518;28-oct-12;70
CS4823;30-jun-11;104
CS3873;24-feb-15;97
CS2116;13-oct-12;52
CS2294;28-feb-13;58
CS5815;18-sep-11;85
CS4054;28-ene-13;64
CS4351;24-feb-12;53
CS2951;17-ene-13;87
CS4707;2-dic-13;43
CS3066;1-sep-12;63
CS1827;30-jul-11;93
CS1949;27-may-13;101
CS1899;19-oct-13;46
CS1567;29-abr-14;86
CS5711;29-may-11;64
CS3839;21-may-14;53
CS3382;31-ago-13;53
CS5646;10-may-13;50
CS5588;14-ene-12;53
CS3464;29-oct-12;72
CS4236;23-feb-12;51
CS4018;17-abr-13;84
CS4819;6-abr-13;40
CS1397;26-may-13;40
CS5494;4-feb-12;62
CS5518;18-sep-11;93
CS2112;17-ago-12;87
CS1630;31-dic-12;89
CS3013;27-oct-13;46
CS2661;23-ago-14;37
CS4928;13-jul-14;86
CS2161;5-abr-12;98
CS2036;8-nov-12;98
CS1323;9-ene-14;97
CS4500;8-mar-13;62
CS4808;4-oct-13;42
CS1566;6-nov-12;53
CS3410;7-oct-12;63
CS1727;25-may-12;102
CS1778;15-mar-14;60
CS2605;17-ago-12;97
CS4147;30-may-11;40
CS3895;6-jun-14;37
CS2290;13-mar-15;49
CS5090;25-oct-14;103
CS5942;2-oct-12;46
CS5278;14-nov-14;83
CS3848;26-ago-13;86
CS5346;19-may-12;101
CS4634;26-sep-13;50
CS1921;8-may-13;84
CS4256;22-dic-11;70
CS3863;2-sep-11;42
CS3848;17-may-13;45
CS2459;14-ago-14;45
CS4871;11-jun-13;35
CS4449;14-jun-12;46
CS4659;18-jul-14;101
CS4868;13-oct-13;82
CS6038;26-abr-13;70
CS3526;26-jun-12;91
CS3357;20-abr-14;51
CS2497;22-may-14;63
CS4694;18-nov-14;71
CS5821;6-ago-14;71
CS2657;4-feb-15;50
CS1617;6-feb-12;84
CS2802;5-ago-12;84
CS6086;26-nov-14;92
CS3632;10-dic-12;100
CS2605;27-may-14;73
CS3999;21-jul-14;93
CS4912;28-sep-11;96
CS3591;25-ago-14;49
CS3817;29-abr-12;41
CS1384;27-mar-12;46
CS4532;21-ene-15;42
CS5773;5-ago-12;38
CS5714;27-jun-12;66
CS2752;26-jun-11;102
CS3868;10-may-14;56
CS4981;15-nov-11;49
CS3006;13-nov-13;99
CS3701;1-jul-11;81
CS1549;24-ene-12;95
CS3726;12-mar-12;95
CS5835;19-may-14;44
CS5766;25-dic-11;67
CS5672;30-jul-13;90
CS1148;21-mar-14;38
CS2815;26-mar-13;58
CS5259;7-jul-11;78
CS2971;21-oct-11;42
CS2112;3-jun-13;89
CS3210;25-dic-13;93
CS4381;4-may-14;63
CS1593;1-dic-12;74
CS3362;8-ago-14;67
CS5818;8-nov-11;76
CS2291;3-mar-15;47
CS4146;1-mar-13;36
CS6031;5-may-13;68
CS3029;30-jun-12;48
CS1308;21-ago-11;50
CS3673;13-ene-15;99
CS2346;1-ago-11;37
CS4693;16-nov-14;70
CS1670;28-may-11;86
CS4545;8-mar-13;54
CS1795;6-nov-14;90
CS5098;21-ago-11;39
CS5862;27-oct-13;95
CS5303;23-feb-12;43
CS1856;29-feb-12;93
CS2636;7-mar-14;98
CS1189;27-may-13;44
CS1995;8-ene-14;67
CS5592;9-mar-13;44
CS4994;27-feb-15;44
CS3702;10-ene-15;71
CS3840;19-mar-13;84
CS1373;18-jun-13;36
CS2829;16-dic-12;71
CS6111;26-may-14;38
CS4483;7-ago-11;54
CS4477;3-jun-12;97
CS3550;20-sep-11;46
CS1163;6-feb-14;102
CS2174;16-jul-13;68
CS1548;24-feb-12;75
CS5729;5-dic-14;43
CS3259;17-sep-12;97
CS6066;28-mar-12;50
CS5130;30-oct-14;59
CS1373;4-jun-14;93
CS2922;8-ago-11;94
CS5235;31-jul-13;84
CS4446;28-jun-12;99
CS4118;15-nov-12;71
CS5642;3-nov-11;71
CS4597;11-may-13;86
CS5948;8-ago-12;46
CS3756;22-sep-12;42
CS5106;10-dic-11;78
CS5965;12-nov-11;52
CS4772;21-ene-14;43
CS4054;20-ago-11;92
CS2968;20-ene-13;36
CS2501;18-abr-14;50
CS2604;18-jul-12;70
CS2098;30-nov-13;58
CS2210;7-ene-13;76
CS1566;28-may-11;82
CS1138;26-sep-11;67
CS5545;25-jul-12;100
CS5466;27-feb-13;40
CS5222;10-may-12;35
CS5292;10-oct-14;68
CS3798;11-ene-13;53
CS4521;20-abr-12;72
CS2775;15-sep-12;75
CS2000;10-ene-13;55
CS1164;3-ene-13;99
CS3464;16-feb-15;81
CS5645;11-may-14;45
CS1550;15-ene-13;84
CS1353;19-jul-12;73
CS1571;10-dic-13;74
CS2201;5-mar-15;42
CS5444;3-abr-13;52
CS1353;22-mar-12;93
CS2754;23-feb-14;96
CS3689;23-jul-11;79
CS4259;6-mar-12;79
CS4493;24-ago-11;105
CS3307;29-ago-11;105
CS3528;22-sep-11;70
CS4873;2-jun-12;96
CS3467;21-may-14;83
CS5656;9-jun-13;99
CS5652;12-nov-13;70
CS5849;17-ene-15;38
CS3880;22-oct-11;86
CS4176;27-nov-14;41
CS3304;3-sep-14;101
CS2050;8-nov-14;45
CS2317;25-dic-12;74
CS4860;3-dic-12;64
CS2217;13-jul-14;79
CS5791;14-oct-11;40
CS5956;20-ene-14;48
CS5079;20-feb-13;37
CS5267;21-mar-12;76
CS2909;29-jun-13;90
CS1584;28-ene-13;53
CS4111;22-ene-15;92
CS3247;17-oct-14;65
CS3946;14-dic-12;67
CS2403;22-jul-14;63
CS2698;15-sep-11;70
CS3882;17-jul-14;57
CS2944;3-feb-13;74
CS4472;24-dic-14;92
CS3819;3-nov-11;46
CS2830;21-feb-12;58
CS3890;7-nov-11;76
CS1740;9-nov-11;41
CS3328;16-ene-15;81
CS2876;6-ene-14;73
CS1595;30-nov-14;84
CS4453;1-sep-11;56
CS2279;14-jul-13;45
CS4017;21-feb-15;103
CS4535;9-dic-14;81
CS4554;25-ene-15;51
CS3791;22-feb-14;61
CS2762;8-oct-13;46
CS2203;28-oct-11;81
CS5253;22-nov-14;54
CS5964;17-dic-12;74
CS3351;24-nov-11;70
CS3506;15-sep-12;52
CS4687;6-ene-14;88
CS1367;21-ene-14;55
CS5477;21-jun-14;92
CS1638;19-oct-12;101
CS6053;22-jun-12;73
CS4287;28-may-14;54
CS1489;18-nov-11;51
CS2225;27-ago-13;42
CS5758;27-nov-12;77
CS4485;17-oct-12;67
CS3658;7-dic-12;84
CS5544;26-nov-11;58
CS4072;2-dic-14;46
CS3165;23-may-11;93
CS3979;22-ago-14;80
CS4708;25-abr-13;72
CS2482;6-feb-13;57
CS5664;2-jul-14;38
CS3000;4-sep-11;89
CS4782;4-jun-14;64
CS5374;14-jun-14;90
CS2189;18-nov-13;42
CS4879;28-sep-14;43
CS4391;4-feb-14;92
CS2837;28-nov-14;37
CS1445;23-jul-11;82
CS3612;30-nov-12;101
CS3112;22-feb-13;58
CS4800;14-sep-12;48
CS1892;13-jun-13;103
CS4068;13-mar-15;61
CS1641;20-abr-13;77
CS5951;12-sep-11;86
CS2310;18-abr-12;84
CS4201;6-jun-12;70
CS4979;28-ago-13;41
CS3730;1-mar-15;100
CS3227;17-oct-14;83
CS5445;4-nov-13;84
CS2288;18-may-12;79
CS3956;10-mar-14;100
CS1149;28-may-12;39
CS1804;2-abr-13;90
CS4678;2-abr-13;60
CS1541;25-oct-13;50
CS4218;8-abr-13;72
CS4407;16-jun-13;37
CS4873;20-jun-11;48
CS3996;11-sep-11;48
CS1740;14-sep-12;54
CS1403;10-feb-14;97
CS4663;31-may-11;42
CS3079;13-sep-13;45
CS4328;13-ago-11;59
CS4522;17-dic-14;70
CS1537;24-jun-11;91
CS2165;7-may-12;61
CS5359;14-nov-14;88
CS5373;28-jul-11;92
CS2286;26-feb-14;48
CS4226;9-mar-12;104
CS5639;6-dic-13;90
CS4888;27-nov-14;70
CS1531;21-nov-13;56
CS5121;6-sep-12;56
CS5417;9-feb-13;38
CS1915;15-sep-14;100
CS1514;16-feb-14;85
CS6053;27-may-14;53
CS2025;4-ene-14;105
CS2751;7-jun-12;70
CS2170;17-ene-14;55
CS3579;9-dic-13;44
CS4355;9-jul-12;41
CS4493;11-dic-13;77
CS5176;1-ago-11;50
CS5694;17-nov-14;84
CS5177;17-jul-11;78
CS3724;28-jul-12;102
CS5101;11-may-14;48
CS4961;17-mar-14;88
CS3938;11-sep-12;36
CS2625;7-jul-13;104
CS3212;27-may-11;71
CS5278;28-ene-15;102
CS4407;4-may-14;87
CS5212;17-jul-13;101
CS1660;28-jul-11;100
CS1391;6-abr-13;72
CS3875;3-feb-14;45
CS1495;30-dic-13;41
CS3647;7-oct-11;57
CS2263;10-sep-12;84
CS5145;20-dic-13;44
CS3440;12-ago-14;47
CS3876;3-sep-13;61
CS5390;29-mar-12;72
CS4542;7-oct-14;86
CS4509;26-mar-14;85
CS4521;11-mar-13;39
CS3818;27-mar-13;46
CS2487;20-ene-12;78
CS2912;12-ene-12;57
CS1829;24-sep-13;59
CS4022;9-mar-13;82
CS4206;14-mar-15;94
CS1159;13-jul-13;102
CS2180;20-mar-13;74
CS2059;4-jun-11;67
CS5206;11-nov-14;76
CS5548;27-jun-11;42
CS4796;14-dic-12;59
CS3451;24-ene-15;103
CS1577;9-abr-13;94
CS4065;11-abr-13;59
CS4817;15-mar-14;70
CS5224;16-oct-14;93
CS3947;8-feb-14;99
CS5129;30-may-13;77
CS1592;29-dic-14;46
CS5396;21-mar-14;82
CS2017;10-jul-13;75
CS2804;1-jul-14;98
CS4825;23-sep-11;73
CS5125;10-jun-11;55
CS5408;3-sep-11;39
CS4155;25-feb-12;43
CS2099;18-dic-14;83
CS3236;13-mar-15;88
CS2643;26-dic-13;102
CS2228;6-mar-15;61
CS4658;16-ene-15;46
CS1260;12-jul-13;105
CS3533;20-oct-11;81
CS4204;22-ene-12;60
CS5762;3-may-14;55
CS4116;30-ene-12;69
CS2805;8-ene-12;40
CS4076;1-jul-14;102
CS3977;22-jul-13;99
CS5965;3-feb-14;63
CS5670;25-mar-14;70
CS2472;29-may-11;98
CS4972;20-nov-12;105
CS3795;12-may-14;76
CS4801;7-abr-12;64
CS1691;26-ago-14;62
CS1478;15-mar-14;67
CS3711;15-nov-12;105
CS4285;29-dic-12;55
CS5184;4-jul-11;69
CS2475;7-oct-14;39
CS3280;1-feb-14;44
CS4073;21-dic-12;58
CS4859;27-sep-14;75
CS4353;29-jul-13;88
CS1583;19-ago-13;84
CS4982;22-nov-12;70
CS2514;1-may-13;45
CS4810;19-dic-11;63
CS1617;2-sep-11;40
CS1987;18-may-14;44
CS2646;23-oct-14;35
CS4644;29-jun-12;92
CS3747;20-ene-13;84
CS4803;20-mar-14;105
CS2220;18-sep-12;87
CS2186;25-nov-12;76
CS1647;21-feb-14;93
CS4068;27-sep-13;71
CS3577;1-sep-12;54
CS2330;29-ago-13;39
CS4929;18-mar-13;81
CS1658;29-ene-14;51
CS1419;14-jul-14;55
CS2249;3-feb-14;40
CS4272;29-ago-14;91
CS4800;24-oct-14;47
CS5070;25-may-13;103
CS3605;15-oct-14;67
CS3698;19-may-13;62
CS2702;9-jun-12;95
CS2043;24-dic-13;50
CS2143;18-sep-14;90
CS2687;18-jun-11;87
CS1697;29-abr-12;40
CS2931;25-ene-14;71
CS5394;20-feb-14;36
CS4460;9-abr-14;57
CS4308;1-abr-12;68
CS1329;9-feb-13;36
CS1675;4-ene-15;69
CS4192;25-ago-12;52
CS4895;11-ene-12;37
CS1395;9-ago-14;77
CS2868;19-jun-12;86
CS5877;24-nov-14;53
CS2508;10-mar-14;55
CS2269;28-jun-11;83
CS4833;29-ene-14;62
CS1812;16-jun-12;85
CS4987;30-nov-12;51
CS5566;16-oct-14;56
CS5583;29-may-13;37
CS5169;12-may-13;75
CS4437;1-mar-14;78
CS3570;7-jun-13;79
CS4023;4-ene-13;103
CS3558;14-may-12;55
CS1120;20-abr-13;53
CS2787;3-mar-13;43
CS4531;23-jul-13;53
CS5175;5-ago-13;65
CS6105;2-nov-14;35
CS2297;20-may-13;87
CS3044;17-nov-13;85
CS4818;5-may-13;84
CS1575;11-sep-12;74
CS5464;30-may-14;80
CS2219;31-mar-13;36
CS3213;27-dic-13;62
CS3036;15-ene-14;53
CS2462;31-may-14;91
CS5605;5-sep-14;97
CS2051;23-jul-14;76
CS3434;23-ago-11;67
CS3485;14-jun-12;104
CS3890;26-dic-14;60
CS3510;29-mar-14;45
CS3016;18-feb-12;73
CS2308;9-abr-12;66
CS2348;21-sep-13;72
CS3551;3-sep-13;42
CS1974;1-abr-12;56
CS5493;15-ene-15;78
CS3341;17-sep-11;39
CS5313;22-oct-12;42
CS1306;11-oct-14;98
CS2459;17-nov-14;84
CS5826;12-nov-12;35
CS1932;16-mar-14;79
CS1969;17-feb-13;46
CS1531;8-jul-14;50
CS3353;18-mar-13;71
CS2304;5-oct-11;86
CS3401;7-sep-11;57
CS5630;1-nov-11;103
CS1684;17-abr-13;51
CS3617;2-abr-14;100
CS3888;5-ene-15;83
CS3073;17-sep-11;77
CS4308;9-oct-11;88
CS4255;18-oct-12;38
CS6016;16-dic-11;46
CS2024;22-may-12;102
CS4683;16-jul-14;102
CS5218;19-mar-14;77
CS4359;13-oct-12;58
CS2159;27-jul-14;99
CS2094;19-ago-13;43
CS5067;10-may-12;61
CS4872;20-dic-12;41
CS6019;22-ene-15;78
CS1395;16-nov-11;48
CS3632;6-ene-15;100
CS5412;20-ago-11;53
CS4005;4-nov-14;49
CS4036;27-ago-11;55
CS3971;22-nov-12;51
CS5561;11-ene-15;94
CS4133;13-jul-12;90
CS1770;20-jun-13;67
CS1916;25-ene-12;69
CS1691;21-ene-12;103
CS6059;5-abr-13;95
CS5181;4-may-14;71
CS1185;27-jun-13;57
CS5402;16-sep-11;94
CS3240;21-abr-13;47
CS1580;1-jul-12;102
CS1808;3-nov-14;93
CS3818;19-nov-14;102
CS4824;24-sep-13;65
CS2965;7-nov-12;90
CS2404;21-nov-13;50
CS3718;31-dic-11;57
CS3799;20-dic-12;61
CS2513;19-may-14;91
CS5145;17-nov-14;53
CS4650;9-dic-12;43
CS3566;26-ene-12;97
CS2706;13-ago-13;36
CS2309;16-ene-15;51
CS1332;19-ago-14;57
CS4048;13-nov-14;66
CS3822;24-mar-13;96
CS3379;8-dic-11;69
CS2210;3-dic-13;101
CS1736;22-oct-13;93
CS3622;15-dic-14;70
CS4597;11-ago-13;55
CS4064;10-ene-12;35
CS4654;6-abr-12;37
CS1134;8-jun-13;84
CS4099;6-nov-13;81
CS1684;4-jul-12;49
CS2859;11-oct-11;38
CS3702;15-sep-14;63
CS5646;4-mar-15;35
CS2056;3-jun-13;38
CS3769;24-dic-11;44
CS4709;8-sep-14;88
CS4466;9-jul-14;79
CS3473;30-oct-14;63
CS4738;13-mar-13;48
CS5255;7-feb-14;48
CS2986;2-may-12;92
CS4142;31-dic-11;82
CS4303;21-sep-11;94
CS5193;20-may-12;41
CS3977;1-dic-12;74
CS5459;15-jun-13;54
CS3584;15-jun-11;86
CS4102;21-jul-14;58
CS5953;27-feb-13;45
CS3077;14-oct-12;38
CS1971;25-jul-12;83
CS5766;5-ago-14;77
CS4813;14-ago-12;38
CS5544;19-ene-13;55
CS3308;13-ago-12;71
CS1363;17-oct-13;50
CS1681;21-may-11;89
CS2679;5-mar-13;47
CS4268;12-dic-12;70
CS5265;30-jun-11;84
CS1449;9-may-13;77
CS2154;17-nov-12;48
CS2243;7-ene-12;59
CS5295;8-ene-12;77
CS1142;29-may-12;80
CS2139;3-sep-11;50
CS5774;18-jul-11;64
CS5221;28-oct-14;69
CS5459;13-jun-11;92
CS1494;2-ene-13;101
CS4536;10-sep-14;64
CS5511;11-dic-13;68
CS2293;28-ene-12;94
CS5844;11-mar-15;78
CS2889;18-mar-14;77
CS5932;24-ago-13;72
CS5754;10-oct-14;78
CS4287;12-sep-12;76
CS3840;21-abr-12;37
CS6071;14-oct-14;79
CS3034;14-nov-11;86
CS3204;3-mar-12;61
CS5629;26-sep-14;43
CS2991;2-nov-12;91
CS2420;2-ene-14;53
CS2278;31-mar-14;64
CS4118;26-ago-14;90
CS5854;27-may-12;94
CS3402;5-sep-11;53
CS3180;22-abr-14;100
CS3759;19-nov-14;39
CS3486;23-jun-14;99
CS5601;26-ago-14;40
CS1352;29-dic-12;67
CS2825;26-may-14;92
CS2074;23-feb-15;97
CS5159;11-mar-14;46
CS2610;17-abr-14;37
CS4949;26-mar-13;38
CS1800;9-ago-13;57
CS3582;17-dic-13;93
CS1712;9-may-13;45
CS5944;13-mar-12;54
CS2356;7-nov-12;73
CS2109;6-feb-15;64
CS4743;16-feb-15;89
CS1232;25-sep-12;71
CS1713;7-jul-14;89
CS5157;8-ago-11;90
CS4788;12-ene-15;56
CS3256;10-abr-12;72
CS4536;11-jun-13;97
CS4621;30-jul-14;103
CS5787;27-jun-13;85
CS5457;24-oct-13;62
CS3614;11-jun-13;95
CS1380;4-sep-12;66
CS5480;28-sep-13;94
CS4755;4-mar-15;102
CS1601;7-ene-14;57
CS1987;7-abr-13;44
CS5864;9-dic-14;83
CS5745;1-mar-12;64
CS4422;27-mar-12;53
CS5525;7-jun-12;95
CS5103;3-may-14;74
CS1213;27-mar-13;56
CS2247;11-oct-11;68
CS4516;27-jul-13;56
CS2457;17-nov-14;90
CS2819;2-nov-13;80
CS2300;16-nov-11;71
CS3257;22-jul-12;52
CS2967;13-feb-14;85
CS3129;13-ene-15;105
CS2403;7-jun-12;47
CS1627;3-jul-12;59
CS5225;6-dic-14;42
CS3972;25-abr-12;96
CS3248;4-nov-13;81
CS3363;27-oct-12;60
CS1712;9-dic-11;70
CS5209;10-mar-14;55
CS4497;21-feb-14;79
CS5029;29-may-13;100
CS5611;5-sep-13;95
CS3749;12-jul-11;66
CS5518;10-oct-11;104
CS1529;8-nov-14;82
CS5810;12-mar-14;71
CS3421;29-jul-13;76
CS5765;3-sep-13;76
CS1402;10-dic-13;70
CS1228;21-mar-13;67
CS4265;6-dic-11;72
CS4716;17-dic-13;37
CS4225;16-jun-13;102
CS5893;30-ene-13;81
CS2633;19-sep-12;74
CS2316;14-oct-12;85
CS4034;11-feb-13;96
CS1154;18-ene-12;55
CS2767;1-jul-13;37
CS3356;16-feb-12;45
CS4596;15-dic-13;58
CS1730;9-oct-13;78
CS4932;22-jun-11;46
CS6020;23-nov-14;105
CS3262;9-sep-12;52
CS2428;10-may-12;94
CS1525;20-may-14;97
CS5355;25-jun-11;56
CS4331;28-jun-11;97
CS1976;7-may-12;102
CS2029;16-mar-12;70
CS3594;28-dic-12;66
CS5273;19-jun-13;44
CS3499;21-mar-14;43
CS3523;13-may-12;76
CS5148;29-nov-14;85
CS3533;18-sep-13;93
CS1389;21-jun-13;55
CS1912;8-jul-12;68
CS1737;16-dic-14;104
CS3594;3-feb-13;59
CS1406;8-nov-13;40
CS1754;24-ago-13;52
CS4511;28-mar-12;98
CS4617;10-ago-13;39
CS2720;13-ene-14;37
CS1502;15-sep-12;58
CS5154;6-ene-14;78
CS5472;20-nov-12;84
CS1404;5-ene-12;59
CS2418;20-may-12;53
CS3126;4-ene-13;50
CS2451;26-mar-12;71
CS1919;3-ago-12;96
CS1441;13-oct-13;89
CS5121;20-mar-12;97
CS4257;31-may-11;84
CS5969;8-dic-11;69
CS3453;11-nov-14;101
CS5630;21-feb-15;61
CS3464;7-ago-11;97
CS2619;12-nov-12;62
CS4540;14-mar-12;103
CS2788;21-ene-15;67
CS6069;6-oct-12;72
CS5596;7-sep-12;98
